ord_alg,N_00,N_,N_pop,N_01,N_10,N_11,ord_algA,ord_algB,PROP_,PROP_10,PROP_11,PROP_01
1: emergency_room_diagnosis,270833,380,271213,0,0,0,-,-,14.0111277851725,0,0,0
2: hospitalisation_primary,271036,177,271213,0,0,0,-,-,6.52623583677774,0,0,0
3: hospitalisation_secondary,270917,296,271213,0,0,0,-,-,10.9139311168712,0,0,0
"4: H, all",270784,429,271213,0,0,0,-,-,15.8178258416816,0,0,0
5: ER  vs H All,270539,674,271213,294,245,135,1,4,24.8513161242271,9.03349028254545,4.97763750262709,10.8401883390545
6: H primary vs H secondary,270784,429,271213,252,133,44,2,3,15.8178258416816,4.90389472481039,1.62234111196735,9.2915900049039
